time,torque
0.703,0
0.704,0
0.705,0
0.706,0
0.707,0
0.708,0
0.709,0
0.71,0
0.711,0
0.712,0
0.713,0
0.714,0
0.715,0
0.716,0
0.717,0
0.718,0
0.719,0
0.72,0
0.721,0
0.722,0
0.723,0
0.724,0
0.725,0
0.726,0
0.727,0
0.728,0
0.729,0
0.73,0
0.731,0
0.732,0
0.733,0
0.734,0
0.735,0
0.736,0
0.737,0
0.738,0
0.739,0
0.74,0
0.741,0
0.742,0
0.743,0
0.744,0
0.745,0
0.746,0
0.747,0
0.748,0
0.749,0
0.75,0
0.751,0
0.752,0
0.753,0
0.754,0
0.755,0
0.756,0
0.757,0
0.758,0
0.759,0
0.76,0
0.761,0
0.762,0
0.763,0
0.764,0
0.765,0
0.766,0
0.767,0
0.768,0
0.769,0
0.77,0
0.771,0
0.772,0
0.773,0
0.774,0
0.775,0
0.776,0
0.777,0
0.778,0
0.779,0
0.78,0
0.781,0
0.782,0
0.783,0
0.784,0
0.785,0
0.786,0
0.787,0
0.788,0
0.789,0
0.79,0
0.791,0
0.792,0
0.793,0
0.794,0
0.795,0
0.796,0
0.797,0
0.798,0
0.799,0
0.8,0
0.801,0
0.802,0
0.803,0
0.804,0
0.805,0
0.806,0
0.807,0
0.808,0
0.809,0
0.81,0
0.811,0
0.812,0
0.813,0
0.814,0
0.815,0
0.816,0
0.817,0
0.818,0
0.819,0
0.82,0
0.821,0
0.822,0
0.823,0
0.824,0
0.825,0
0.826,0
0.827,0
0.828,0
0.829,0
0.83,0
0.831,0
0.832,0
0.833,0
0.834,0
0.835,0
0.836,0
0.837,0
0.838,0
0.839,0
0.84,0
0.841,0
0.842,0
0.843,0
0.844,0
0.845,0
0.846,0
0.847,0
0.848,0
0.849,0
0.85,0
0.851,0
0.852,0
0.853,0
0.854,0
0.855,0
0.856,0
0.857,0
0.858,0
0.859,0
0.86,0
0.861,0
0.862,0
0.863,0
0.864,0
0.865,0
0.866,0
0.867,0
0.868,0
0.869,0
0.87,0
0.871,0
0.872,0
0.873,0
0.874,0
0.875,0
0.876,0
0.877,0
0.878,0
0.879,0
0.88,0
0.881,0
0.882,0
0.883,0
0.884,0
0.885,0
0.886,0
0.887,0
0.888,0
0.889,0
0.89,0
0.891,0
0.892,0
0.893,0
0.894,0
0.895,0
0.896,0
0.897,0
0.898,0
0.899,0
0.9,0
0.901,0
0.902,0
0.903,0
0.904,0
0.905,0
0.906,0
0.907,0
0.908,0
0.909,0
0.91,0
0.911,0
0.912,0
0.913,0
0.914,0
0.915,0
0.916,0
0.917,0
0.918,0
0.919,0
0.92,0
0.921,0
0.922,0
0.923,0
0.924,0
0.925,0
0.926,0
0.927,0
0.928,0
0.929,0
0.93,0
0.931,0
0.932,0
0.933,0
0.934,0
0.935,0
0.936,0
0.937,0
0.938,0
0.939,0
0.94,0
0.941,0
0.942,0
0.943,0
0.944,0
0.945,0
0.946,0
0.947,0
0.948,0
0.949,0
0.95,0
0.951,0
0.952,0
0.953,0
0.954,0
0.955,0
0.956,0
0.957,0
0.958,0
0.959,0
0.96,0
0.961,0
0.962,0
0.963,0
0.964,0
0.965,0
0.966,0
0.967,0
0.968,0
0.969,0
0.97,0
0.971,0
0.972,0
0.973,0
0.974,0
0.975,0
0.976,0
0.977,0
0.978,0
0.979,0
0.98,0
0.981,0
0.982,0
0.983,0
0.984,0
0.985,0
0.986,0
0.987,0
0.988,0
0.989,0
0.99,0
0.991,0
0.992,0
0.993,0
0.994,0
0.995,0
0.996,0
0.997,0
0.998,0
0.999,0
1,1
1.001,1
1.002,1
1.003,1
1.004,1
1.005,1
1.006,1
1.007,1
1.008,1
1.009,1
1.01,1
1.011,1
1.012,1
1.013,1
1.014,1
1.015,1
1.016,1
1.017,1
1.018,1
1.019,1
1.02,1
1.021,1
1.022,1
1.023,1
1.024,1
1.025,1
1.026,1
1.027,1
1.028,1
1.029,1
1.03,1
1.031,1
1.032,1
1.033,1
1.034,1
1.035,1
1.036,1
1.037,1
1.038,1
1.039,1
1.04,1
1.041,1
1.042,1
1.043,1
1.044,1
1.045,1
1.046,1
1.047,1
1.048,1
1.049,1
1.05,1
1.051,1
1.052,1
1.053,1
1.054,1
1.055,1
1.056,1
1.057,1
1.058,1
1.059,1
1.06,1
1.061,1
1.062,1
1.063,1
1.064,1
1.065,1
1.066,1
1.067,1
1.068,1
1.069,1
1.07,1
1.071,1
1.072,1
1.073,1
1.074,1
1.075,1
1.076,1
1.077,1
1.078,1
1.079,1
1.08,1
1.081,1
1.082,1
1.083,1
1.084,1
1.085,1
1.086,1
1.087,1
1.088,1
1.089,1
1.09,1
1.091,1
1.092,1
1.093,1
1.094,1
1.095,1
1.096,1
1.097,1
1.098,1
1.099,1
1.1,1
1.101,1
1.102,1
1.103,1
1.104,1
1.105,1
1.106,1
1.107,1
1.108,1
1.109,1
1.11,1
1.111,1
1.112,1
1.113,1
1.114,1
1.115,1
1.116,1
1.117,1
1.118,1
1.119,1
1.12,1
1.121,1
1.122,1
1.123,1
1.124,1
1.125,1
1.126,1
1.127,1
1.128,1
1.129,1
1.13,1
1.131,1
1.132,1
1.133,1
1.134,1
1.135,1
1.136,1
1.137,1
1.138,1
1.139,1
1.14,1
1.141,1
1.142,1
1.143,1
1.144,1
1.145,1
1.146,1
1.147,1
1.148,1
1.149,1
1.15,1
1.151,1
1.152,1
1.153,1
1.154,1
1.155,1
1.156,1
1.157,1
1.158,1
1.159,1
1.16,1
1.161,1
1.162,1
1.163,1
1.164,1
1.165,1
1.166,1
1.167,1
1.168,1
1.169,1
1.17,1
1.171,1
1.172,1
1.173,1
1.174,1
1.175,1
1.176,1
1.177,1
1.178,1
1.179,1
1.18,1
1.181,1
1.182,1
1.183,1
1.184,1
1.185,1
1.186,1
1.187,1
1.188,1
1.189,1
1.19,1
1.191,1
1.192,1
1.193,1
1.194,1
1.195,1
1.196,1
1.197,1
1.198,1
1.199,1
1.2,1
1.201,1
1.202,1
1.203,1
1.204,1
1.205,1
1.206,1
1.207,1
1.208,1
1.209,1
1.21,1
1.211,1
1.212,1
1.213,1
1.214,1
1.215,1
1.216,1
1.217,1
1.218,1
1.219,1
1.22,1
1.221,1
1.222,1
1.223,1
1.224,1
1.225,1
1.226,1
1.227,1
1.228,1
1.229,1
1.23,1
1.231,1
1.232,1
1.233,1
1.234,1
1.235,1
1.236,1
1.237,1
1.238,1
1.239,1
1.24,1
1.241,1
1.242,1
1.243,1
1.244,1
1.245,1
1.246,1
1.247,1
1.248,1
1.249,1
1.25,1
1.251,1
1.252,1
1.253,1
1.254,1
1.255,1
1.256,1
1.257,1
1.258,1
1.259,1
1.26,1
1.261,1
1.262,1
1.263,1
1.264,1
1.265,1
1.266,1
1.267,1
1.268,1
1.269,1
1.27,1
1.271,1
1.272,1
1.273,1
1.274,1
1.275,1
1.276,1
1.277,1
1.278,1
1.279,1
1.28,1
1.281,1
1.282,1
1.283,1
1.284,1
1.285,1
1.286,1
1.287,1
1.288,1
1.289,1
1.29,1
1.291,1
1.292,1
1.293,1
1.294,1
1.295,1
1.296,1
1.297,1
1.298,1
1.299,1
1.3,1
1.301,1
1.302,1
1.303,1
1.304,1
1.305,1
1.306,1
1.307,1
1.308,1
1.309,1
1.31,1
1.311,1
1.312,1
1.313,1
1.314,1
1.315,1
1.316,1
1.317,1
1.318,1
1.319,1
1.32,1
1.321,1
1.322,1
1.323,1
1.324,1
1.325,1
1.326,1
1.327,1
1.328,1
1.329,1
1.33,1
1.331,1
1.332,1
1.333,1
1.334,1
1.335,1
1.336,1
1.337,1
1.338,1
1.339,1
1.34,1
1.341,1
1.342,1
1.343,1
1.344,1
1.345,1
1.346,1
1.347,1
1.348,1
1.349,1
1.35,1
1.351,1
1.352,1
1.353,1
1.354,1
1.355,1
1.356,1
1.357,1
1.358,1
1.359,1
1.36,1
1.361,1
1.362,1
1.363,1
1.364,1
1.365,1
1.366,1
1.367,1
1.368,1
1.369,1
1.37,1
1.371,1
1.372,1
1.373,1
1.374,1
1.375,1
1.376,1
1.377,1
1.378,1
1.379,1
1.38,1
1.381,1
1.382,1
1.383,1
1.384,1
1.385,1
1.386,1
1.387,1
1.388,1
1.389,1
1.39,1
1.391,1
1.392,1
1.393,1
1.394,1
1.395,1
1.396,1
1.397,1
1.398,1
1.399,1
1.4,1
1.401,1
1.402,1
1.403,1
1.404,1
1.405,1
1.406,1
1.407,1
1.408,1
1.409,1
1.41,1
1.411,1
1.412,1
1.413,1
1.414,1
1.415,1
1.416,1
1.417,1
1.418,1
1.419,1
1.42,1
1.421,1
1.422,1
1.423,1
1.424,1
1.425,1
1.426,1
1.427,1
1.428,1
1.429,1
1.43,1
1.431,1
1.432,1
1.433,1
1.434,1
1.435,1
1.436,1
1.437,1
1.438,1
1.439,1
1.44,1
1.441,1
1.442,1
1.443,1
1.444,1
1.445,1
1.446,1
1.447,1
1.448,1
1.449,1
1.45,1
1.451,1
1.452,1
1.453,1
1.454,1
1.455,1
1.456,1
1.457,1
1.458,1
1.459,1
1.46,1
1.461,1
1.462,1
1.463,1
1.464,1
1.465,1
1.466,1
1.467,1
1.468,1
1.469,1
1.47,1
1.471,1
1.472,1
1.473,1
1.474,1
1.475,1
1.476,1
1.477,1
1.478,1
1.479,1
1.48,1
1.481,1
1.482,1
1.483,1
1.484,1
1.485,1
1.486,1
1.487,1
1.488,1
1.489,1
1.49,1
1.491,1
1.492,1
1.493,1
1.494,1
1.495,1
1.496,1
1.497,1
1.498,1
1.499,1
1.5,1
1.501,1
1.502,1
1.503,1
1.504,1
1.505,1
1.506,1
1.507,1
1.508,1
1.509,1
1.51,1
1.511,1
1.512,1
1.513,1
1.514,1
1.515,1
1.516,1
1.517,1
1.518,1
1.519,1
1.52,1
1.521,1
1.522,1
1.523,1
1.524,1
1.525,1
1.526,1
1.527,1
1.528,1
1.529,1
1.53,1
1.531,1
1.532,1
1.533,1
1.534,1
1.535,1
1.536,1
1.537,1
1.538,1
1.539,1
1.54,1
1.541,1
1.542,1
1.543,1
1.544,1
1.545,1
1.546,1
1.547,1
1.548,1
1.549,1
1.55,1
1.551,1
1.552,1
1.553,1
1.554,1
1.555,1
1.556,1
1.557,1
1.558,1
1.559,1
1.56,1
1.561,1
1.562,1
1.563,1
1.564,1
1.565,1
1.566,1
1.567,1
1.568,1
1.569,1
1.57,1
1.571,1
1.572,1
1.573,1
1.574,1
1.575,1
1.576,1
1.577,1
1.578,1
1.579,1
1.58,1
1.581,1
1.582,1
1.583,1
1.584,1
1.585,1
1.586,1
1.587,1
1.588,1
1.589,1
1.59,1
1.591,1
1.592,1
1.593,1
1.594,1
1.595,1
1.596,1
1.597,1
1.598,1
1.599,1
1.6,1
1.601,1
1.602,1
1.603,1
1.604,1
1.605,1
1.606,1
1.607,1
1.608,1
1.609,1
1.61,1
1.611,1
1.612,1
1.613,1
1.614,1
1.615,1
1.616,1
1.617,1
1.618,1
1.619,1
1.62,1
1.621,1
1.622,1
1.623,1
1.624,1
1.625,1
1.626,1
1.627,1
1.628,1
1.629,1
1.63,1
1.631,1
1.632,1
1.633,1
1.634,1
1.635,1
1.636,1
1.637,1
1.638,1
1.639,1
1.64,1
1.641,1
1.642,1
1.643,1
1.644,1
1.645,1
1.646,1
1.647,1
1.648,1
1.649,1
1.65,1
1.651,1
1.652,1
1.653,1
1.654,1
1.655,1
1.656,1
1.657,1
1.658,1
1.659,1
1.66,1
1.661,1
1.662,1
1.663,1
1.664,1
1.665,1
1.666,1
1.667,1
1.668,1
1.669,1
1.67,1
1.671,1
1.672,1
1.673,1
1.674,1
1.675,1
1.676,1
1.677,1
1.678,1
1.679,1
1.68,1
1.681,1
1.682,1
1.683,1
1.684,1
1.685,1
1.686,1
1.687,1
1.688,1
1.689,1
1.69,1
1.691,1
1.692,1
1.693,1
1.694,1
1.695,1
1.696,1
1.697,1
1.698,1
1.699,1
1.7,1
1.701,1
1.702,1
1.703,1
1.704,1
1.705,1
1.706,1
1.707,1
1.708,1
1.709,1
1.71,1
1.711,1
1.712,1
1.713,1
1.714,1
1.715,1
1.716,1
1.717,1
1.718,1
1.719,1
1.72,1
1.721,1
1.722,1
1.723,1
1.724,1
1.725,1
1.726,1
1.727,1
1.728,1
1.729,1
1.73,1
1.731,1
1.732,1
1.733,1
1.734,1
1.735,1
1.736,1
1.737,1
1.738,1
1.739,1
1.74,1
1.741,1
1.742,1
1.743,1
1.744,1
1.745,1
1.746,1
1.747,1
1.748,1
1.749,1
1.75,1
1.751,1
1.752,1
1.753,1
1.754,1
1.755,1
1.756,1
1.757,1
1.758,1
1.759,1
1.76,1
1.761,1
1.762,1
1.763,1
1.764,1
1.765,1
1.766,1
1.767,1
1.768,1
1.769,1
1.77,1
1.771,1
1.772,1
1.773,1
1.774,1
1.775,1
1.776,1
1.777,1
1.778,1
1.779,1
1.78,1
1.781,1
1.782,1
1.783,1
1.784,1
1.785,1
1.786,1
1.787,1
1.788,1
1.789,1
1.79,1
1.791,1
1.792,1
1.793,1
1.794,1
1.795,1
1.796,1
1.797,1
1.798,1
1.799,1
1.8,1
1.801,1
1.802,1
1.803,1
1.804,1
1.805,1
1.806,1
1.807,1
1.808,1
1.809,1
1.81,1
1.811,1
1.812,1
1.813,1
1.814,1
1.815,1
1.816,1
1.817,1
1.818,1
1.819,1
1.82,1
1.821,1
1.822,1
1.823,1
1.824,1
1.825,1
1.826,1
1.827,1
1.828,1
1.829,1
1.83,1
1.831,1
1.832,1
1.833,1
1.834,1
1.835,1
1.836,1
1.837,1
1.838,1
1.839,1
1.84,1
1.841,1
1.842,1
1.843,1
1.844,1
1.845,1
1.846,1
1.847,1
1.848,1
1.849,1
1.85,1
1.851,1
1.852,1
1.853,1
1.854,1
1.855,1
1.856,1
1.857,1
1.858,1
1.859,1
1.86,1
1.861,1
1.862,1
1.863,1
1.864,1
1.865,1
1.866,1
1.867,1
1.868,1
1.869,1
1.87,1
1.871,1
1.872,1
1.873,1
1.874,1
1.875,1
1.876,1
1.877,1
1.878,1
1.879,1
1.88,1
1.881,1
1.882,1
1.883,1
1.884,1
1.885,1
1.886,1
1.887,1
1.888,1
1.889,1
1.89,1
1.891,1
1.892,1
1.893,1
1.894,1
1.895,1
1.896,1
1.897,1
1.898,1
1.899,1
1.9,1
1.901,1
1.902,1
1.903,1
1.904,1
1.905,1
1.906,1
1.907,1
1.908,1
1.909,1
1.91,1
1.911,1
1.912,1
1.913,1
1.914,1
1.915,1
1.916,1
1.917,1
1.918,1
1.919,1
1.92,1
1.921,1
1.922,1
1.923,1
1.924,1
1.925,1
1.926,1
1.927,1
1.928,1
1.929,1
1.93,1
1.931,1
1.932,1
1.933,1
1.934,1
1.935,1
1.936,1
1.937,1
1.938,1
1.939,1
1.94,1
1.941,1
1.942,1
1.943,1
1.944,1
1.945,1
1.946,1
1.947,1
1.948,1
1.949,1
1.95,1
1.951,1
1.952,1
1.953,1
1.954,1
1.955,1
1.956,1
1.957,1
1.958,1
1.959,1
1.96,1
1.961,1
1.962,1
1.963,1
1.964,1
1.965,1
1.966,1
1.967,1
1.968,1
1.969,1
1.97,1
1.971,1
1.972,1
1.973,1
1.974,1
1.975,1
1.976,1
1.977,1
1.978,1
1.979,1
1.98,1
1.981,1
1.982,1
1.983,1
1.984,1
1.985,1
1.986,1
1.987,1
1.988,1
1.989,1
1.99,1
1.991,1
1.992,1
1.993,1
1.994,1
1.995,1
1.996,1
1.997,1
1.998,1
1.999,1
2,1
2.001,2
2.002,2
2.003,2
2.004,2
2.005,2
2.006,2
2.007,2
2.008,2
2.009,2
2.01,2
2.011,2
2.012,2
2.013,2
2.014,2
2.015,2
2.016,2
2.017,2
2.018,2
2.019,2
2.02,2
2.021,2
2.022,2
2.023,2
2.024,2
2.025,2
2.026,2
2.027,2
2.028,2
2.029,2
2.03,2
2.031,2
2.032,2
2.033,2
2.034,2
2.035,2
2.036,2
2.037,2
2.038,2
2.039,2
2.04,2
2.041,2
2.042,2
2.043,2
2.044,2
2.045,2
2.046,2
2.047,2
2.048,2
2.049,2
2.05,2
2.051,2
2.052,2
2.053,2
2.054,2
2.055,2
2.056,2
2.057,2
2.058,2
2.059,2
2.06,2
2.061,2
2.062,2
2.063,2
2.064,2
2.065,2
2.066,2
2.067,2
2.068,2
2.069,2
2.07,2
2.071,2
2.072,2
2.073,2
2.074,2
2.075,2
2.076,2
2.077,2
2.078,2
2.079,2
2.08,2
2.081,2
2.082,2
2.083,2
2.084,2
2.085,2
2.086,2
2.087,2
2.088,2
2.089,2
2.09,2
2.091,2
2.092,2
2.093,2
2.094,2
2.095,2
2.096,2
2.097,2
2.098,2
2.099,2
2.1,2
2.101,2
2.102,2
2.103,2
2.104,2
2.105,2
2.106,2
2.107,2
2.108,2
2.109,2
2.11,2
2.111,2
2.112,2
2.113,2
2.114,2
2.115,2
2.116,2
2.117,2
2.118,2
2.119,2
2.12,2
2.121,2
2.122,2
2.123,2
2.124,2
2.125,2
2.126,2
2.127,2
2.128,2
2.129,2
2.13,2
2.131,2
2.132,2
2.133,2
2.134,2
2.135,2
2.136,2
2.137,2
2.138,2
2.139,2
2.14,2
2.141,2
2.142,2
2.143,2
2.144,2
2.145,2
2.146,2
2.147,2
2.148,2
2.149,2
2.15,2
2.151,2
2.152,2
2.153,2
2.154,2
2.155,2
2.156,2
2.157,2
2.158,2
2.159,2
2.16,2
2.161,2
2.162,2
2.163,2
2.164,2
2.165,2
2.166,2
2.167,2
2.168,2
2.169,2
2.17,2
2.171,2
2.172,2
2.173,2
2.174,2
2.175,2
2.176,2
2.177,2
2.178,2
2.179,2
2.18,2
2.181,2
2.182,2
2.183,2
2.184,2
2.185,2
2.186,2
2.187,2
2.188,2
2.189,2
2.19,2
2.191,2
2.192,2
2.193,2
2.194,2
2.195,2
2.196,2
2.197,2
2.198,2
2.199,2
2.2,2
2.201,2
2.202,2
2.203,2
2.204,2
2.205,2
2.206,2
2.207,2
2.208,2
2.209,2
2.21,2
2.211,2
2.212,2
2.213,2
2.214,2
2.215,2
2.216,2
2.217,2
2.218,2
2.219,2
2.22,2
2.221,2
2.222,2
2.223,2
2.224,2
2.225,2
2.226,2
2.227,2
2.228,2
2.229,2
2.23,2
2.231,2
2.232,2
2.233,2
2.234,2
2.235,2
2.236,2
2.237,2
2.238,2
2.239,2
2.24,2
2.241,2
2.242,2
2.243,2
2.244,2
2.245,2
2.246,2
2.247,2
2.248,2
2.249,2
2.25,2
2.251,2
2.252,2
2.253,2
2.254,2
2.255,2
2.256,2
2.257,2
2.258,2
2.259,2
2.26,2
2.261,2
2.262,2
2.263,2
2.264,2
2.265,2
2.266,2
2.267,2
2.268,2
2.269,2
2.27,2
2.271,2
2.272,2
2.273,2
2.274,2
2.275,2
2.276,2
2.277,2
2.278,2
2.279,2
2.28,2
2.281,2
2.282,2
2.283,2
2.284,2
2.285,2
2.286,2
2.287,2
2.288,2
2.289,2
2.29,2
2.291,2
2.292,2
2.293,2
2.294,2
2.295,2
2.296,2
2.297,2
2.298,2
2.299,2
2.3,2
2.301,2
2.302,2
2.303,2
2.304,2
2.305,2
2.306,2
2.307,2
2.308,2
2.309,2
2.31,2
2.311,2
2.312,2
2.313,2
2.314,2
2.315,2
2.316,2
2.317,2
2.318,2
2.319,2
2.32,2
2.321,2
2.322,2
2.323,2
2.324,2
2.325,2
2.326,2
2.327,2
2.328,2
2.329,2
2.33,2
2.331,2
